algo_name,thread,cache_mb,time,res
bfs,0,128,49345255,0
bfs,0,128,49635000,0
bfs,0,128,49282273,0
bfs,0,256,49358135,0
bfs,0,256,49755381,0
bfs,0,256,49699214,0
bfs,0,512,49809282,0
bfs,0,512,50074824,0
bfs,0,512,50154779,0
bfs,0,1024,50299726,0
bfs,0,1024,50620815,0
bfs,0,1024,50808478,0
bfs,0,2048,51071868,0
bfs,0,2048,51045014,0
bfs,0,2048,51201071,0
bfs,0,4096,49887740,0
bfs,0,4096,49852375,0
bfs,0,4096,50227475,0
bfs,0,8192,42911129,0
bfs,0,8192,42941691,0
bfs,0,8192,42900310,0
bfs,0,16384,42820948,0
bfs,0,16384,43142518,0
bfs,0,16384,43470514,0
